Data, H, |I|, Out_Acc, In_Acc, Sol_Time, MIP_Gap, Obj_Val, Obj_Bound, Model, Lambda, Calibration_Time, Rand_State, Time_Limit, Tuning_Used, Num_CB, Num_Cuts, Total_CB_Time, MIP_Node_Time, MIP_Sol_Time, Max_Features, Single_Feature_Use, Regularization
monk3,2,91,0.935483871,0.931506849,0.581242085,0,85,85,BendersOCT,0,6.536161326,15,3600,TRUE,20,19,0.304759264,,,,,
monk3,2,91,0.903225806,0.945205479,0.434267044,0,86,86,BendersOCT,0,5.093411207,89,3600,TRUE,19,18,0.24249649,,,,,
monk3,2,91,0.935483871,0.931506849,0.452960014,0,85,85,BendersOCT,0,6.32825185,42,3600,TRUE,18,17,0.221318722,,,,,
monk3,2,91,0.935483871,0.917808219,0.377043962,0,85,85,BendersOCT,0,5.898267806,0,3600,TRUE,16,15,0.192163467,,,,,
soybean_small,2,35,1,1,0.006646156,0,35,35,BendersOCT,0,14.04539317,138,3600,TRUE,2,0,0.005991936,,,,,
soybean_small,2,35,1,1,0.006777048,0,35,35,BendersOCT,0,12.46169847,15,3600,TRUE,2,0,0.006035089,,,,,
soybean_small,2,35,1,1,0.007448912,0,35,35,BendersOCT,0,8.180400301,89,3600,TRUE,2,0,0.006625891,,,,,
soybean_small,2,35,0.916666667,1,0.006637812,0,35,35,BendersOCT,0,8.11813549,42,3600,TRUE,2,0,0.0060606,,,,,
soybean_small,2,35,1,1,0.006989956,0,35,35,BendersOCT,0,7.898419425,0,3600,TRUE,2,0,0.006289244,,,,,
spect,2,200,0.71641791,0.775,223.654772,0,152,152,BendersOCT,0,2555.142624,138,3600,TRUE,33,32,1.492715597,,,,,
spect,2,200,0.656716418,0.75625,265.2719879,0,133,133,BendersOCT,0.1,2435.613096,15,3600,TRUE,35,34,1.660165071,,,,,
spect,2,200,0.746268657,0.725,218.8007262,0,150,150,BendersOCT,0,2555.802774,89,3600,TRUE,29,28,1.556206465,,,,,
blood,2,560,0.770053476,0.790178571,2616.562376,0,436,436,BendersOCT,0,17455.33346,138,3600,TRUE,24,23,9.616138458,,,,,
spect,2,200,0.746268657,0.74375,222.07745,0,150,150,BendersOCT,0,2474.602465,42,3600,TRUE,29,28,1.57581687,,,,,
climate,2,405,0.925925926,0.941358025,3600.038469,0.067144474,265.1,282.9,BendersOCT,0.3,18004.07838,138,3600,TRUE,27,26,62.83865333,,,,,
tic_tac_toe,3,718,0.745833333,0.775652174,3600.000689,0.198741007,556,666.5,BendersOCT,0,18000.87897,138,3600,TRUE,54,53,7.630170107,,,,,
climate,3,405,0.925925926,0.956790123,3600.002737,0.04768881,347.7,364.2813994,BendersOCT,0.1,18005.81478,138,3600,TRUE,36,35,121.5325212,,,,,
spect,4,200,0.746268657,0.83125,3600.004089,0.232197617,145.8,179.6544125,BendersOCT,0.1,18000.82463,138,3600,TRUE,158,138,9.969789267,,,,,
car,5,1296,0.828703704,0.87270974,3600.006004,0.153024911,1124,1296,BendersOCT,0,18001.59127,138,3600,TRUE,129,126,46.19847965,,,,,
climate,4,405,0.940740741,0.938271605,3600.011378,0.067282322,303.2,323.6,BendersOCT,0.2,18019.15948,138,3600,TRUE,46,45,322.2499132,,,,,
spect,2,200,0.731343284,0.75625,200.893544,0,151,151,BendersOCT,0,2402.746642,0,3600,TRUE,30,29,1.672260761,,,,,
tic_tac_toe,2,718,0.704166667,0.704347826,202.3365271,0,507,507,BendersOCT,0,2544.980758,138,3600,TRUE,38,37,3.68377924,,,,,
tic_tac_toe,2,718,0.679166667,0.713043478,209.1343961,0,513,513,BendersOCT,0,2617.141221,15,3600,TRUE,43,42,4.176486254,,,,,
tic_tac_toe,2,718,0.641666667,0.697391304,238.6560569,0,508,508,BendersOCT,0,2683.812983,89,3600,TRUE,34,33,3.670889854,,,,,
tic_tac_toe,2,718,0.670833333,0.711304348,270.467526,0,511,511,BendersOCT,0,2366.977166,42,3600,TRUE,40,39,4.406035185,,,,,
tic_tac_toe,2,718,0.658333333,0.726956522,216.435039,0,518,518,BendersOCT,0,2345.929937,0,3600,TRUE,42,41,4.024526119,,,,,
blood,2,560,0.748663102,0.779017857,3193.06287,0,437,437,BendersOCT,0,16797.15908,15,3600,TRUE,30,29,9.895576239,,,,,
climate,2,405,0.933333333,0.929012346,3600.006177,0.08,375,405,BendersOCT,0,18003.86184,15,3600,TRUE,25,23,54.71080351,,,,,
tic_tac_toe,3,718,0.725,0.777391304,3600.000894,0.182340426,564,666.84,BendersOCT,0,18000.97633,15,3600,TRUE,54,52,8.561608315,,,,,
climate,3,405,0.940740741,0.932098765,3600.001806,0.07712766,376,405,BendersOCT,0,18005.41028,15,3600,TRUE,68,53,125.2971025,,,,,
spect,4,200,0.686567164,0.81875,3600.002245,0.226993865,163,200,BendersOCT,0,18001.69957,15,3600,TRUE,120,106,7.878047466,,,,,
car,5,1296,0.865740741,0.890067502,3600.005336,0.132867133,1144,1296,BendersOCT,0,18001.69147,15,3600,TRUE,92,91,39.350842,,,,,
climate,4,405,0.948148148,0.935185185,3600.127819,0.074173853,225.4,242.1187864,BendersOCT,0.4,18008.13696,15,3600,TRUE,58,53,262.823843,,,,,
balance_scale,3,468,0.694267516,0.754666667,1115.710433,7.87E-05,353,353.0277778,BendersOCT,0,12936.83736,138,3600,TRUE,68,67,6.015894175,,,,,
blood,2,560,0.796791444,0.772321429,2814.605058,0,433,433,BendersOCT,0,17405.27305,89,3600,TRUE,29,28,11.07505536,,,,,
balance_scale,3,468,0.675159236,0.762666667,951.6464601,8.19E-05,354,354.0289855,BendersOCT,0,9975.103635,15,3600,TRUE,62,61,5.117711067,,,,,
climate,2,405,0.911111111,0.938271605,3600.029219,0.060102383,305.2,323.5432472,BendersOCT,0.2,18003.89648,89,3600,TRUE,23,22,62.92965674,,,,,
tic_tac_toe,3,718,0.725,0.772173913,3600.000837,0.209009009,555,671,BendersOCT,0,18002.37574,89,3600,TRUE,64,62,9.277688265,,,,,
spect,4,200,0.641791045,0.80625,3600.001067,0.21212121,165.0000003,200,BendersOCT,0,18004.99751,89,3600,TRUE,125,107,8.533988237,,,,,
climate,3,405,0.896296296,0.947530864,3600.006838,0.055797733,229.4,242.2,BendersOCT,0.4,18007.03553,89,3600,TRUE,30,29,175.8441343,,,,,
car,5,1296,0.861111111,0.851494696,3600.004908,0.188433143,543.5,645.9134133,BendersOCT,0.5,18002.034,89,3600,TRUE,157,154,51.91996026,,,,,
climate,4,405,0.903703704,0.950617284,3600.008273,0.059492563,228.6,242.2,BendersOCT,0.4,18008.68574,89,3600,TRUE,36,34,187.0884342,,,,,
balance_scale,3,468,0.719745223,0.749333333,1125.275882,9.01E-05,347.0000001,347.03125,BendersOCT,0,14171.11936,89,3600,TRUE,68,66,4.289220095,,,,,
blood,2,560,0.759358289,0.774553571,2469.861372,0,128.5,128.5,BendersOCT,0.7,17169.05401,42,3600,TRUE,27,26,10.02498102,,,,,
tic_tac_toe,3,718,0.7625,0.777391304,3600.001039,0.225262017,498.1,610.3030107,BendersOCT,0.1,18001.00948,42,3600,TRUE,71,70,9.026090622,,,,,
climate,2,405,0.911111111,0.944444444,3600.015074,0.065789474,380,405,BendersOCT,0,18009.45576,42,3600,TRUE,31,27,48.67775202,,,,,
climate,3,405,0.925925926,0.969135802,3600.008679,0.041131105,389,405,BendersOCT,0,18004.84721,42,3600,TRUE,57,47,107.9669554,,,,,
car,5,1296,0.837962963,0.859209257,3600.005968,0.174818119,881.8,1035.954618,BendersOCT,0.2,18001.51452,42,3600,TRUE,149,147,49.49113274,,,,,
