Data,H,|I|,Out-Acc,In-Acc,Sol-Time,Gap,ObjVal,# CB,User Cuts,Cuts/CB,CB-Time,INT-CB-time,FRAC-CB-TIME,CB-Eps,Model,Time Limit,Rand. State,ObjBound,Warm Start,Single Feature Use,Max Features
monk2,3,126,0.558139535,0.761904762,2337.281693,0,96,0,0,0,0,0,0,0,MCF1,3600,89,96,FALSE,None,None
balance_scale,4,468,0.675159236,0.798076923,3600.003435,0.268292677,468,0,0,0,0,0,0,0,FlowOCT,3600,0,369.0000018,FALSE,FALSE,FALSE
house_votes_84,5,326,0.944954128,1,3600.004123,0.003076923,326,0,0,0,0,0,0,0,FlowOCT,3600,138,325,FALSE,FALSE,FALSE
blood,3,560,0.780748663,0.783928571,3600.018784,0.275626424,439,0,0,0,0,0,0,0,MCF2,3600,89,560,FALSE,None,None
blood,4,560,0.780748663,0.816071429,3600.057582,0.225382932,457,0,0,0,0,0,0,0,MCF2,3600,0,560,FALSE,None,None
climate,4,405,0.888888889,0.950617284,3600.093424,0.051948052,385,0,0,0,0,0,0,0,MCF2,3600,42,405,FALSE,None,None
climate,2,405,0.933333333,0.925925926,3600.011502,0.068601583,405,0,0,0,0,0,0,0,FlowOCT,3600,15,379.0000001,FALSE,FALSE,FALSE
blood,2,560,0.77540107,0.773214286,3600.002098,0.048498845,433,0,0,0,0,0,0,0,MCF1,3600,42,454,FALSE,None,None
monk2,3,126,0.627906977,0.801587302,3600.000836,0.01980198,101,0,0,0,0,0,0,0,MCF1,3600,42,103,FALSE,None,None
blood,2,560,0.748663102,0.789285714,941.463851,0,442,0,0,0,0,0,0,0,MCF1,3600,0,442,FALSE,None,None
car,4,1296,0.768518519,0.815972222,3600.007488,0.222641509,1296,0,0,0,0,0,0,0,FlowOCT,3600,138,1060,FALSE,FALSE,FALSE
house_votes_84,5,326,0.95412844,0.995391705,3600.005387,0.009287926,326,0,0,0,0,0,0,0,FlowOCT,3600,15,323,FALSE,FALSE,FALSE
blood,3,560,0.79144385,0.810714286,3600.020036,0.231277533,454,0,0,0,0,0,0,0,MCF2,3600,42,559,FALSE,None,None
spect,4,200,0.597014925,0.812030075,3600.001036,0.19047619,200,0,0,0,0,0,0,0,FlowOCT,3600,0,168,FALSE,FALSE,FALSE
climate,4,405,0.888888889,0.935802469,3600.220371,0.068601583,379,0,0,0,0,0,0,0,MCF1,3600,0,405,FALSE,None,None
climate,2,405,0.918518519,0.937037037,3600.005971,0.060209424,405,0,0,0,0,0,0,0,FlowOCT,3600,89,382,FALSE,FALSE,FALSE
monk2,3,126,0.744186047,0.753968254,3600.001151,0.094736842,95,0,0,0,0,0,0,0,MCF1,3600,0,104,FALSE,None,None
climate,2,405,0.881481481,0.945679012,3600.010295,0.052219321,383,0,0,0,0,0,0,0,MCF1,3600,138,403,FALSE,None,None
car,4,1296,0.8125,0.805555556,3600.013281,0.228436019,1296,0,0,0,0,0,0,0,FlowOCT,3600,15,1055,FALSE,FALSE,FALSE
house_votes_84,5,326,0.95412844,0.986175115,3600.020895,0.012422321,326,0,0,0,0,0,0,0,FlowOCT,3600,89,322.0000125,FALSE,FALSE,FALSE
blood,3,560,0.77540107,0.801785714,3600.012332,0.244988864,449,0,0,0,0,0,0,0,MCF2,3600,0,559,FALSE,None,None
breast_cancer,5,214,0.708333333,0.909090909,3600.00717,0.103092783,214,0,0,0,0,0,0,0,FlowOCT,3600,138,194.0000001,FALSE,FALSE,FALSE
climate,4,405,0.911111111,0.943209877,3600.12099,0.060209424,382,0,0,0,0,0,0,0,MCF2,3600,0,405,FALSE,None,None
climate,2,405,0.859259259,0.944444444,3600.007975,0.065789473,405,0,0,0,0,0,0,0,FlowOCT,3600,42,380.0000002,FALSE,FALSE,FALSE
spect,3,200,0.611940299,0.795,3600.00322,0.257861635,159,0,0,0,0,0,0,0,MCF1,3600,138,200,FALSE,None,None
climate,2,405,0.940740741,0.933333333,3600.042548,0.066137566,378,0,0,0,0,0,0,0,MCF1,3600,15,403,FALSE,None,None
car,4,1296,0.810185185,0.799768519,3600.00859,0.265625,1296,0,0,0,0,0,0,0,FlowOCT,3600,89,1024,FALSE,FALSE,FALSE
house_votes_84,5,326,0.972477064,0.98156682,3600.023099,0.012422356,326,0,0,0,0,0,0,0,FlowOCT,3600,42,322.0000014,FALSE,FALSE,FALSE
breast_cancer,5,214,0.680555556,0.881118881,3600.007185,0.126315785,214,0,0,0,0,0,0,0,FlowOCT,3600,15,190.0000007,FALSE,FALSE,FALSE
climate,3,405,0.925925926,0.95308642,3600.033792,0.049222798,386,0,0,0,0,0,0,0,MCF2,3600,138,405,FALSE,None,None
climate,2,405,0.896296296,0.918518519,3600.007616,0.074270556,405,0,0,0,0,0,0,0,FlowOCT,3600,0,377.0000003,FALSE,FALSE,FALSE
ionosphere,4,263,0.818181818,0.950570342,3600.097776,0.052,250,0,0,0,0,0,0,0,MCF1,3600,138,263,FALSE,None,None
spect,3,200,0.731343284,0.79,3600.000825,0.265822785,158,0,0,0,0,0,0,0,MCF1,3600,15,200,FALSE,None,None
climate,2,405,0.918518519,0.943209877,3600.047214,0.052356021,382,0,0,0,0,0,0,0,MCF1,3600,89,402,FALSE,None,None
